FileName, CommitSha
Analytics/Login from suspicious IP.json,10c642cf90dd7f16111e1ff94c0406261d6e1076
Analytics/Test Automation.json,e7d1b495dc49fc0abb0fda405cad97f77ebd180b
Analytics/Azure_Sentinel_analytic_rule.json,3865a35ad97cadf34c064327a3391307e966d38d

